Lemma,Stem,Paradigm,Class,Translation,Source
ingiw,ingiw,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,https://ojibwe.lib.umn.edu/main-entry/ingiw-pron-dem
ingiwedig,ingiwedig,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,https://ojibwe.lib.umn.edu/main-entry/ingiwedig-pron-dem
ini,iniw2,PRONDem+NA+ObvPl,PRONDem+NA+ObvPl,NONE,
ini,iniw2,PRONDem+NA+ObvSg,PRONDem+NA+ObvSg,NONE,
ini,iniw2,PRONDem+NI+Pl,PRONDem+NI+Pl,NONE,
iniw,iniw,PRONDem+NA+ObvPl,PRONDem+NA+ObvPl,NONE,https://ojibwe.lib.umn.edu/main-entry/iniw-pron-dem-7087de27-2cf7-4881-9629-f61aa383309e
iniw,iniw,PRONDem+NA+ObvSg,PRONDem+NA+ObvSg,NONE,https://ojibwe.lib.umn.edu/main-entry/iniw-pron-dem-7087de27-2cf7-4881-9629-f61aa383309e
iniw,iniw,PRONDem+NI+Pl,PRONDem+NI+Pl,NONE,https://ojibwe.lib.umn.edu/main-entry/iniw-pron-dem-7087de27-2cf7-4881-9629-f61aa383309e
iniwe,iniwe,PRONDem+NA+ObvPl,PRONDem+NA+ObvPl,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwe-pron-dem-6c0f3f39-d530-488f-ab8d-ec48c5ca73a4
iniwe,iniwe,PRONDem+NA+ObvSg,PRONDem+NA+ObvSg,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwe-pron-dem-6c0f3f39-d530-488f-ab8d-ec48c5ca73a4
iniwe,iniwe,PRONDem+NI+Pl,PRONDem+NI+Pl,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwe-pron-dem-6c0f3f39-d530-488f-ab8d-ec48c5ca73a4
iniwedi,iniwediw2,PRONDem+NA+ObvPl,PRONDem+NA+ObvPl,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwedi-pron-dem
iniwedi,iniwediw2,PRONDem+NA+ObvSg,PRONDem+NA+ObvSg,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwedi-pron-dem
iniwedi,iniwediw2,PRONDem+NI+Pl,PRONDem+NI+Pl,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwedi-pron-dem
iniwedin,iniwedin,PRONDem+NA+ObvPl,PRONDem+NA+ObvPl,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwedin-pron-dem
iniwedin,iniwedin,PRONDem+NA+ObvSg,PRONDem+NA+ObvSg,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwedin-pron-dem
iniwedin,iniwedin,PRONDem+NI+Pl,PRONDem+NI+Pl,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwedin-pron-dem
iniwen,iniwen,PRONDem+NA+ObvPl,PRONDem+NA+ObvPl,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwen-pron-dem-cdd9e904-2cde-42f8-a3e6-3697b935fc06
