Lemma,Stem,Paradigm,Class,Translation,Source
jiigeweyaazhagaamemon,jiigeweyaazhagaamemo,VII,VII_V,"it (road or trail) goes along the shore",https://ojibwe.lib.umn.edu/main-entry/jiigeweyaazhagaamemon-vii
biigwaashi,biigwaashi,VAI,VAI_V,"it (animate) is damaged by the wind, is blown apart",https://ojibwe.lib.umn.edu/main-entry/biigwaashi-vai
zegaabam,zegaabam,VTA,VTA_C,"have a frightening dream, a scary dream about h/",https://ojibwe.lib.umn.edu/main-entry/zegaabam-vta
naadazina'ige,naadazina'ige,VAI,VAI_VV,"s/he goes to collect a debt",https://ojibwe.lib.umn.edu/main-entry/naadazina-ige-vai
izhimaaso,izhimaaso,VAI,VAI_V,"s/he smells a certain way cooking or burning",https://ojibwe.lib.umn.edu/main-entry/izhimaaso-vai
biinizide,biinizide,VAI,VAI_VV,"s/he has a clean foot or clean feet",https://ojibwe.lib.umn.edu/main-entry/biinizide-vai
omigiiwininjii,omigiiwininjii,VAI,VAI_VV,"s/he has a scab or scabs on h/ hand or hands",https://ojibwe.lib.umn.edu/main-entry/omigiiwininjii-vai
gibiingwepinidizo,gibiingwepinidizo,VAI,VAI_rfx,"s/he blindfolds h/ self",https://ojibwe.lib.umn.edu/main-entry/gibiingwepinidizo-vai
bapasininjii',bapasininjii'w1,VTA,VTA_Cw,"slap, clap h/ hands",https://ojibwe.lib.umn.edu/main-entry/bapasininjii-vta
minotoon,minot,VTI,VTI_oo,"make it nice, build it well",https://ojibwe.lib.umn.edu/main-entry/minotoon-vti2
ziigaajiwanzan,ziigaajiwanz,VTI,VTI_am,"let it boil over",https://ojibwe.lib.umn.edu/main-entry/ziigaajiwanzan-vti
niimiitamaw,niimiitamaw,VTA,VTA_aw,"dance (something) for h/ to honor h/",https://ojibwe.lib.umn.edu/main-entry/niimiitamaw-vta
maanagoode,maanagoode,VII,VII_VV,"it hangs awkwardly",https://ojibwe.lib.umn.edu/main-entry/maanagoode-vii
giizhitamaw,giizhitamaw,VTA,VTA_aw,"finish (it) for h/",https://ojibwe.lib.umn.edu/main-entry/giizhitamaw-vta
naabakiinan,naabakiin,VTI,VTI_am,"transplant it",https://ojibwe.lib.umn.edu/main-entry/naabakiinan-vti
daashkiigizh,daashkiigizhw1,VTA,VTA_Cw,"split h/ (something sheet-like)",https://ojibwe.lib.umn.edu/main-entry/daashkiigizh-vta
nenawi'aawaso,nenawi'aawaso,VAI,VAI_V,"s/he sings a lullaby",https://ojibwe.lib.umn.edu/main-entry/nenawi-aawaso-vai
zegi'iwe,zegi'iwe,VAI,VAI_VV,"s/he scares people",https://ojibwe.lib.umn.edu/main-entry/zegi-iwe-vai
wiidigem,wiidigem,VTA,VTA_C,"",https://ojibwe.lib.umn.edu/main-entry/wiidigem-vta
gibikweni,gibikweni,VAI,VAI_V,"s/he moves h/ head in the way",https://ojibwe.lib.umn.edu/main-entry/gibikweni-vai
aazhawapidoon,aazhawapid,VTI,VTI_oo,"tie it across",https://ojibwe.lib.umn.edu/main-entry/aazhawapidoon-vti2
aabitaayoonagishin,aabitaayoonagishin,VAI,VAI_n,"",https://ojibwe.lib.umn.edu/main-entry/aabitawoonagishin-vai
aazhawaakogoodoon,aazhawaakogood,VTI,VTI_oo,"hang it across a stick or rack",https://ojibwe.lib.umn.edu/main-entry/aazhawaakogoodoon-vti2
aabidaanagidoone,aabidaanagidoone,VAI,VAI_VV,"s/he talks continually",https://ojibwe.lib.umn.edu/main-entry/aabidaanagidoone-vai
waabishkaabiigizi,waabishkaabiigizi,VAI,VAI_V,"it (animate; string-like) is white",https://ojibwe.lib.umn.edu/main-entry/waabishkaabiigizi-vai
akwegizhan,akwegizh,VTI,VTI_am,"cut it (sheet-like) a certain length",https://ojibwe.lib.umn.edu/main-entry/akwegizhan-vti
adite,adite,VII,VII_VV,"",https://ojibwe.lib.umn.edu/main-entry/adite-vii
giiwashkwe,giiwashkwe,VAI,VAI_VV,"s/he is dizzy, feels unsteady",https://ojibwe.lib.umn.edu/main-entry/giiwashkwe-vai
gaagiiwashkwe,gaagiiwashkwe,VAI,VAI_VV,"s/he is dizzy, feels unsteady",https://ojibwe.lib.umn.edu/main-entry/giiwashkwe-vai
aawekaazh,aawekaan1,VTA,VTA_n,"recognize h/",https://ojibwe.lib.umn.edu/main-entry/aawekaazh-vta
ikwabi,ikwabi,VAI,VAI_V,"",https://ojibwe.lib.umn.edu/main-entry/ikwabi-vai
waawiyekidewan,waawiyekide,VIIPL,VIIPL_VV,"they stand in a circle",https://ojibwe.lib.umn.edu/main-entry/waawiyekidewan-vii
