Lemma,Stem,Paradigm,Class,Translation,Source
naabe,naabe,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/naabe-pv-lex
naaji,naajiw2,PNLex,PNLex,NONE,UnpublishedOPD
mizhisha,mizhishaw2,PNLex,PNLex,NONE,UnpublishedOPD
naawi,naawiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/naawi-pv-lex
naano,naanow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/naano-pv-qnt
namanji,namanjiw2,PNLex,PNLex,NONE,UnpublishedOPD
nabane,nabane,PNLex,PNLex,NONE,UnpublishedOPD
nabagi,nabagiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/nabagi-pv-lex
michi,michiw2,PNLex,PNLex,NONE,UnpublishedOPD
mishi,mishiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/mishi-pv-lex
namaji,namajiw2,PNLex,PNLex,NONE,UnpublishedOPD
nanda,nandaw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/nanda-pv-lex
nibaaji,nibaajiw2,PNLex,PNLex,NONE,UnpublishedOPD
ngo,ngow2,PNQnt,PNQnt,NONE,UnpublishedOPD
ngodwaaso,ngodwaasow2,PNQnt,PNQnt,NONE,UnpublishedOPD
niizho,niizhow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/niizho-pv-qnt
nenishwaaswi,nenishwaaswiw2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/nenishwaaswi-adv-num
niiyo,niiyow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/niiyo-pv-qnt
nazhike,nazhike,PNLex,PNLex,NONE,UnpublishedOPD
niiji,niijiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/niiji-pv-lex
niibaa,niibaa,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/niibaa-pv-lex
