Lemma,Stem,Paradigm,Class,Translation,Source
'iwedi,'iwediw2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/iwedi-pron-dem-3cc3f74d-8883-4d08-9313-4ac2fa538361
awenen,awenen,PRONInter,PRONInter,NONE,https://ojibwe.lib.umn.edu/main-entry/awenen-pron-inter
giin,giin,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/giin-pron-per
gaye wiin,gaye wiin,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/gaye-wiin-pron-per
wiinitam,wiinitam,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/wiinitam-pron-per
wiinawaa,wiinawaa,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/wiinawaa-pron-per
gegiin,gegiin,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/gegiin-pron-per
ingiwedig,ingiwedig,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/ingiwedig-pron-dem
wa'aw,wa'aw,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/wa-aw-pron-dem
gaye giinawaa,gaye giinawaa,PRONPer,PRONPer,NONE,https://ojibwe.lib.umn.edu/main-entry/gaye-giinawaa-pron-per
onowen,onowen,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/onowen-pron-dem
ongowedig,ongowedig,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/ongowedig-pron-dem
iw,iw,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/iw-pron-dem
aya'ii,aya'ii,PRONPsl,PRONPsl,NONE,https://ojibwe.lib.umn.edu/main-entry/aya-ii-pron-psl
i'iwe,i'iwe,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/i-iwe-pron-dem-de8ef725-04d1-4873-a7c1-ecc89cb6f0e3
awegwen igo,awegwen igow2,PRONDub,PRONDub,NONE,https://ojibwe.lib.umn.edu/main-entry/awegwen-igo-pron-dub
awedi,awediw2,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/awedi-pron-dem
ogoweg,ogoweg,PRONDem,PRONDem,NONE,https://ojibwe.lib.umn.edu/main-entry/ogoweg-pron-dem
