Lemma,Stem,Paradigm,Class,Translation,Source
ingodwaaso-giizhik,ingodwaaso-giizhik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaaso-giizhik-adv-num
ishwaasosagoons,ishwaasosagoons,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaasosagoons-adv-num
ingodwaaso-giizis,ingodwaaso-giizis,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaaso-giizis-adv-num
ishwaaswaabik,ishwaaswaabik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaaswaabik-adv-num
ishwaaswaak,ishwaaswaak,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaaswaak-adv-num
ingodwaaso-gikinoonowin,ingodwaaso-gikinoonowin,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaaso-gikinoonowin-adv-num
ingodwaaso-minikwaajigan,ingodwaaso-minikwaajigan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaaso-minikwaajigan-adv-num
ishwaasweg,ishwaasweg,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaasweg-adv-num
ingodwaasobaneninj,ingodwaasobaneninj,NUM,NUM,NONE,UnpublishedOPD
ishwaaswemikwaanens,ishwaaswemikwaanens,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaaswemikwaanens-adv-num
ishwaaswewaan,ishwaaswewaan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaaswewaan-adv-num
ingodwaasogon,ingodwaasogon,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaasogon-adv-num
ishwaaswi,ishwaaswiw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaaswi-adv-num
ingodwaasominag,ingodwaasominag,NUM,NUM,NONE,UnpublishedOPD
ingodwaasoninj,ingodwaasoninj,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaasoninj-adv-num
ingodwaasookik,ingodwaasookik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaasookik-adv-num
ingodwaasoonag,ingodwaasoonag,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaasoonag-adv-num
ingodwaasooshkin,ingodwaasooshkin,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaasooshkin-adv-num
ingodwaasosagoons,ingodwaasosagoons,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaasosagoons-adv-num
ingodwaaswaabik,ingodwaaswaabik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaaswaabik-adv-num
ingodwaaswaak,ingodwaaswaak,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaaswaak-adv-num
ingodwaasweg,ingodwaasweg,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaasweg-adv-num
ingodwaaswewaan,ingodwaaswewaan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaaswewaan-adv-num
ingodwaaswi,ingodwaaswiw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaaswi-adv-num
ingodwemikwaanens,ingodwemikwaanens,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwemikwaanens-adv-num
ingodwewaan,ingodwewaan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwewaan-adv-num
ingo-anama'e-giizhik,ingo-anama'e-giizhik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingo-anama-e-giizhik-adv-num
ingo-biboon,ingo-biboon,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingo-biboon-adv-num
ingo-diba'igaans,ingo-diba'igaans,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingo-diba-igaans-adv-num
ingo-diba'igan,ingo-diba'igan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingo-diba-igan-adv-num
ingo-dibaabiishkoojigan,ingo-dibaabiishkoojigan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingo-dibaabiishkoojigan-adv-num
ingo-dibik,ingo-dibik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingo-dibik-adv-num
ingo-giizhik,ingo-giizhik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingo-giizhik-adv-num
ingo-giizis,ingo-giizis,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingo-giizis-adv-num
ingo-gikinoonowin,ingo-gikinoonowin,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingo-gikinoonowin-adv-num
ingo-minikwaajigan,ingo-minikwaajigan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingo-minikwaajigan-adv-num
ishwaasimidana,ishwaasimidanaw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaasimidana-adv-num
ingodobaneninj,ingodobaneninj,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodobaneninj-adv-num
ingodonaagaans,ingodonaagaans,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodonaagaans-adv-num
ingodoninj,ingodoninj,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodoninj-adv-num
ishwaaso-anama'e-giizhik,ishwaaso-anama'e-giizhik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaaso-anama-e-giizhik-adv-num
ishwaaso-biboon,ishwaaso-biboon,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaaso-biboon-adv-num
ishwaaso-dibaabiishkoojigan,ishwaaso-dibaabiishkoojigan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaaso-dibaabiishkoojigan-adv-num
ishwaaso-dibik,ishwaaso-dibik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaaso-dibik-adv-num
ishwaaso-giizhik,ishwaaso-giizhik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaaso-giizhik-adv-num
ishwaaso-giizis,ishwaaso-giizis,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaaso-giizis-adv-num
ishwaaso-gikinoonowin,ishwaaso-gikinoonowin,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaaso-gikinoonowin-adv-num
nishwaaso-minikwaajigan,nishwaaso-minikwaajigan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/nishwaaso-minikwaajigan-adv-num
ishwaasogon,ishwaasogon,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaasogon-adv-num
ishwaasoninj,ishwaasoninj,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaasoninj-adv-num
ingodwaasodaabaan,ingodwaasodaabaan,NUM,NUM,NONE,UnpublishedOPD
ingodwaasomooday,ingodwaasomooday,NUM,NUM,NONE,UnpublishedOPD
ingodwaasomoodens,ingodwaasomoodens,NUM,NUM,NONE,UnpublishedOPD
ingodwaaso-diba'igan,ingodwaaso-diba'igan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ingodwaaso-diba-igan-adv-num
ishwaaso-diba'igaans,ishwaaso-diba'igaans,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaaso-diba-igaans-adv-num
ishwaaso-diba'igan,ishwaaso-diba'igan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/ishwaaso-diba-igan-adv-num
memidaaching,memidaaching,NUM,NUM,NONE,UnpublishedOPD
memidaaswi,memidaaswiw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/memidaaswi-adv-num
midaaso-anama'e-giizhik,midaaso-anama'e-giizhik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaso-anama-e-giizhik-adv-num
midaaso-biboon,midaaso-biboon,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaso-biboon-adv-num
midaaso-diba'oobaan,midaaso-diba'oobaan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaso-diba-oobaan-adv-num
midaaso-dibaabiishkoojigan,midaaso-dibaabiishkoojigan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaso-dibaabiishkoojigan-adv-num
midaaso-dibik,midaaso-dibik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaso-dibik-adv-num
midaaso-giizhik,midaaso-giizhik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaso-giizhik-adv-num
midaaso-giizis,midaaso-giizis,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaso-giizis-adv-num
midaaso-gikinoonowin,midaaso-gikinoonowin,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaso-gikinoonowin-adv-num
midaaso-minikwaajigan,midaaso-minikwaajigan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaso-minikwaajigan-adv-num
midaaso-mininj,midaaso-mininj,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaso-mininj-adv-num
midaaso-mizid,midaaso-mizid,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaso-mizid-adv-num
midaasogon,midaasogon,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaasogon-adv-num
midaasonaaganens,midaasonaaganens,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaasonaaganens-adv-num
midaasoninj,midaasoninj,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaasoninj-adv-num
midaasookik,midaasookik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaasookik-adv-num
midaasoonag,midaasoonag,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaasoonag-adv-num
mizid,mizid,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/mizid-adv-num
midaasooshkimod,midaasooshkimod,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaasooshkimod-adv-num
midaasooshkin,midaasooshkin,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaasooshkin-adv-num
midaasosagoons,midaasosagoons,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaasosagoons-adv-num
midaasozid,midaasozid,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaasozid-adv-num
midaaswaabik,midaaswaabik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaswaabik-adv-num
midaaswaak,midaaswaak,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaswaak-adv-num
