Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source,
NA,NA_Vw,babaamaashiiwinini,babaamaashiiwininiw,NONE,NONE,NONE,NONE,NONE,ProxSg,babaamaashiiwinini,,,
NA,NA_Vw,babaamaashiiwinini,babaamaashiiwininiw,NONE,NONE,NONE,NONE,NONE,ProxPl,babaamaashiiwininiwag,,,
NI,NI_C,waasamoo-jiimaan,waasamoo-jiimaan,NONE,NONE,NONE,NONE,NONE,Sg,waasamoo-jiimaan,,,
NI,NI_C,waasamoo-jiimaan,waasamoo-jiimaan,NONE,NONE,NONE,NONE,NONE,Pl,waasamoo-jiimaanan,,,
NI,NI_C,waasamoo-jiimaan,waasamoo-jiimaan,NONE,Dim,NONE,NONE,NONE,Sg,waasamoo-jiimaanens,,,
NI,NI_C,waasamoo-jiimaan,waasamoo-jiimaan,NONE,NONE,NONE,NONE,NONE,Loc,waasamoo-jiimaaning,,,
NI,NI_C,waasechigan,waasechigan,NONE,NONE,NONE,NONE,NONE,Sg,waasechigan,,,
NI,NI_C,waasechigan,waasechigan,NONE,NONE,NONE,NONE,NONE,Pl,waasechiganan,,,
NI,NI_C,waasechigan,waasechigan,NONE,Dim,NONE,NONE,NONE,Sg,waasechigaans,,,waasechiganens,,,
NI,NI_C,waasechigan,waasechigan,NONE,NONE,NONE,NONE,NONE,Loc,waasechiganing,,,
NI,NI_Cw,babaamaadizii-makak,babaamaadizii-makakw,NONE,NONE,NONE,NONE,NONE,Sg,babaamaadizii-makak,,,
NI,NI_Cw,babaamaadizii-makak,babaamaadizii-makakw,NONE,NONE,NONE,NONE,NONE,Pl,babaamaadizii-makakoon,,,
NI,NI_Cw,babaamaadizii-makak,babaamaadizii-makakw,NONE,Dim,NONE,NONE,NONE,Sg,babaamaadizii-makakoons,,,
NI,NI_Cw,babaamaadizii-makak,babaamaadizii-makakw,NONE,NONE,NONE,NONE,NONE,Loc,babaamaadizii-makakong,,,
NI,NI_VV,waasamoo-bimide,waasamoo-bimidew,NONE,NONE,NONE,NONE,NONE,Sg,waasamoo-bimide,,,
NI,NI_VV,waasamoo-bimide,waasamoo-bimidew,NONE,NONE,NONE,NONE,NONE,Loc,waasamoo-bimideng,,,
NI,NI_C,waaswaagan,waaswaagan,NONE,NONE,NONE,NONE,NONE,Sg,waaswaagan,,,
NI,NI_C,waaswaagan,waaswaagan,NONE,NONE,NONE,NONE,NONE,Pl,waaswaaganan,,,
NI,NI_C,waaswaagan,waaswaagan,NONE,Dim,NONE,NONE,NONE,Sg,waaswaagaans,,,
NI,NI_C,waaswaagan,waaswaagan,NONE,NONE,NONE,NONE,NONE,Loc,waaswaaganing,,,
NI,NI_C,waasamoo-waazakonenjigan,waasamoo-waazakonenjigan,NONE,NONE,NONE,NONE,NONE,Sg,waasamoo-waazakonenjigan,,,
NI,NI_C,waasamoo-waazakonenjigan,waasamoo-waazakonenjigan,NONE,NONE,NONE,NONE,NONE,Pl,waasamoo-waazakonenjiganan,,,
NI,NI_C,waasamoo-waazakonenjigan,waasamoo-waazakonenjigan,NONE,Dim,NONE,NONE,NONE,Sg,waasamoo-waazakonenjigaans,,,
NI,NI_C,waasamoo-waazakonenjigan,waasamoo-waazakonenjigan,NONE,NONE,NONE,NONE,NONE,Loc,waasamoo-waazakonenjiganing,,,
NA,NA_VV,bimidasaa,bimidasaaw,NONE,NONE,NONE,NONE,NONE,ProxSg,bimidasaa,,,
NA,NA_VV,bimidasaa,bimidasaaw,NONE,NONE,NONE,NONE,NONE,ProxPl,bimidasaag,,,
